Japanese(Kanji)	Romanized Japanese	English
盆地	Bonchi	Basin
台地	Daichi	Upland
岳	Dake	Mountain
道	Do	Prefecture
潟	Gata	Lagoon
川	Gawa	River, Stream
群島	Gunto	Islands, Islets, Archipelago
浜	Hama	Beach
半島	Hanto	Peninsula
平野	Heiya	Plain
東	Higashi	East
府	Fu	Prefecture
海	Kai	Sea
海岸	Kaigan	Seacoast
海峡	Kaikyo	Strait, Channel
潟	Kata	Lagoon
川	Kawa	River, Stream
県	Ken	Prefecture
北	Kita	North
小	Ko	Little, Lesser
湖	Ko	Lake
区	Ku	Ward
丘陵	Kyuryo	Hills
町	Machi	Town
南	Minami	South
岬	Misaki	Cape
村	Mura	Village
灘	Nada	Sea
中	Naka	Central
西	Nishi	West
沼	Numa	Marsh, Swamp
大	O	Great, Greater
列島	Retto	Islands, Islets
崎、埼、碕	Saki	Cape
山	San	Mountain､Hill
山脈	Sanmyaku	Mountain range
山地	Sanchi	Mountains
沢	Sawa	Stream, Wide valley in the mountains
瀬戸	Seto	Strait, Channel
市	Shi	City
島	Shima	Islands Islet
新	Shin	New
村	Son	Village
水道	Suido	Strait, Channel
諸島	Shoto	Islands, Islets
島	Jima	Island, Islet
岳	Take	Mountain
都	To	Metropolis
島	To	Island, Islet
峠	Toge	Pass
町	Cho	Town
浦	Ura	Cove, Inlet, Embayment
湾	Wan	Bay
山	Yama	Mountain､Hill
崎、埼、碕	Zaki	Cape
山	Zan	Mountain､Hill
沢	Zawa	Stream, Wide valley in the mountains
